Latitude,Longitude,Elevation,Reading,Diurnal correction,MAG_DIUR,
16.35,77.697,269.25,42401,0,42401,
16.352,77.698,266.8,42400,0,42400,
16.365,77.69,241,42398,0.08,42397.92,
16.382,77.701,261.15,42396,0.1,42395.9,
16.34,77.696,268.78,42389,0,42389,
16.341,77.697,265.82,42388,0,42388,
16.326,77.686,246.37,42386,1.8,42384.2,
16.333,77.686,248.39,42385,1,42384,
16.342,77.695,272.21,42385,3,42388,
16.355,77.698,265.84,42384,0.2,42383.8,
16.353,77.723,243.68,42383,2,42381,
16.388,77.713,265.7,42380,2,42382,
16.267,77.72,261.91,42376,4,42380,
16.253,77.716,264.08,42376,8,42384,
16.257,77.716,262.82,42375,6,42381,
16.359,77.698,267.43,42373,0.3,42372.7,
16.37,77.7,261.75,42372,0.7,42371.3,
16.251,77.715,267.27,42372,9,42381,
16.342,77.687,249.51,42370,1.6,42368.4,
16.387,77.713,267.45,42369,2.4,42371.4,
16.342,77.694,275.08,42368,1.8,42369.8,
16.255,77.716,264.12,42362,7,42369,
16.337,77.686,254.2,42360,0.4,42359.6,
16.425,77.706,258.66,42344,0,42344,
16.266,77.724,274.79,42335,0.8,42334.2,
16.379,77.701,263.92,42322,1,42321,
16.396,77.715,262.83,42314,0.4,42314.4,
16.366,77.7,262.91,42312,0.6,42311.4,
16.398,77.715,267.38,42306,10,42316,
16.363,77.699,265.66,42296,0.5,42295.5,
16.436,77.698,252.81,42289,0.9,42289.9,
16.354,77.704,236.35,42271,0.4,42270.6,
16.435,77.702,249.38,42267,0.6,42267.6,
16.425,77.702,251.74,42242,1,42241,
16.394,77.714,266.45,42158,0.8,42158.8,
