Lat,Long,Bouger anomaly
79.675,17.0032,-41.8
79.6917,17.0032,-41.8
79.7083,17.0032,-42.1
79.725,17.0032,-42.6
79.7417,17.0032,-43.5
79.7583,17.0032,-44.5
79.775,17.0032,-45.5
79.7917,17.0032,-46.5
79.8083,17.0032,-47.2
79.825,17.0032,-47.7
79.8417,17.0032,-47.9
79.8583,17.0032,-47.8
79.875,17.0032,-47.5
79.8917,17.0032,-47.1
79.9083,17.0032,-46.6
79.925,17.0032,-46.1
79.9417,17.0032,-45.6
79.9583,17.0032,-45
79.975,17.0032,-44.3
79.9917,17.0032,-43.5
80.0083,17.0032,-42.6
78.0083,16.9873,5.2
78.025,16.9873,3.5
78.0417,16.9873,1.7
78.0583,16.9873,0.1
78.075,16.9873,-1.1
78.0917,16.9873,-1.8
78.1083,16.9873,-2.1
78.125,16.9873,-2
78.1417,16.9873,-1.6
78.1583,16.9873,-1.2
78.175,16.9873,-0.8
78.1917,16.9873,-0.5
78.2083,16.9873,-0.3
78.225,16.9873,-0.3
78.2417,16.9873,-0.2
78.2583,16.9873,-0.3
78.275,16.9873,-0.3
78.2917,16.9873,-0.4
78.3083,16.9873,-0.3
78.325,16.9873,-0.3
78.3417,16.9873,-0.1
78.3583,16.9873,0.2
78.375,16.9873,0.6
78.3917,16.9873,1.2
78.4083,16.9873,2
78.425,16.9873,3
78.4417,16.9873,4
78.4583,16.9873,4.9
78.475,16.9873,5.7
78.4917,16.9873,6.2
78.5083,16.9873,6.3
78.525,16.9873,6.2
78.5417,16.9873,5.8
78.5583,16.9873,5.1
78.575,16.9873,4.3
78.5917,16.9873,3.5
78.6083,16.9873,2.6
78.625,16.9873,1.6
78.6417,16.9873,0.6
78.6583,16.9873,-0.7
78.675,16.9873,-2.1
78.6917,16.9873,-3.8
78.7083,16.9873,-5.6
78.725,16.9873,-7.6
78.7417,16.9873,-9.7
78.7583,16.9873,-11.9
78.775,16.9873,-14
78.7917,16.9873,-16.1
78.8083,16.9873,-18.3
78.825,16.9873,-20.5
78.8417,16.9873,-22.8
78.8583,16.9873,-25.1
78.875,16.9873,-27.5
78.8917,16.9873,-29.9
78.9083,16.9873,-32
78.925,16.9873,-33.9
78.9417,16.9873,-35.3
78.9583,16.9873,-36.4
78.975,16.9873,-37
78.9917,16.9873,-37.3
79.0083,16.9873,-37.4
79.025,16.9873,-37.5
79.0417,16.9873,-37.5
79.0583,16.9873,-37.7
79.075,16.9873,-38
79.0917,16.9873,-38.2
79.1083,16.9873,-38.5
79.125,16.9873,-38.6
79.1417,16.9873,-38.6
79.1583,16.9873,-38.4
79.175,16.9873,-38.1
79.1917,16.9873,-37.7
79.2083,16.9873,-37.3
79.225,16.9873,-37.1
79.2417,16.9873,-37
79.2583,16.9873,-37.1
79.275,16.9873,-37.3
79.2917,16.9873,-37.6
79.3083,16.9873,-37.9
79.325,16.9873,-38.3
79.3417,16.9873,-38.5
79.3583,16.9873,-38.8
79.375,16.9873,-39
79.3917,16.9873,-39.2
79.4083,16.9873,-39.5
79.425,16.9873,-39.9
79.4417,16.9873,-40.4
79.4583,16.9873,-40.9
79.475,16.9873,-41.5
79.4917,16.9873,-42.2
79.5083,16.9873,-42.8
79.525,16.9873,-43.3
79.5417,16.9873,-43.8
79.5583,16.9873,-44.1
79.575,16.9873,-44.2
79.5917,16.9873,-44.2
79.6083,16.9873,-44
79.625,16.9873,-43.6
79.6417,16.9873,-43.2
79.6583,16.9873,-42.9
79.675,16.9873,-42.6
79.6917,16.9873,-42.5
79.7083,16.9873,-42.7
79.725,16.9873,-43.1
79.7417,16.9873,-43.9
79.7583,16.9873,-44.8
79.775,16.9873,-45.8
79.7917,16.9873,-46.7
79.8083,16.9873,-47.5
79.825,16.9873,-48
79.8417,16.9873,-48.3
79.8583,16.9873,-48.2
79.875,16.9873,-48
79.8917,16.9873,-47.6
79.9083,16.9873,-47.1
