Lat,Long,Elevation
79.975,16.9235,95
79.9917,16.9235,87
80.0083,16.9235,89
78.0083,16.9076,633
78.025,16.9076,625
78.0417,16.9076,611
78.0583,16.9076,591
78.075,16.9076,577
78.0917,16.9076,591
78.1083,16.9076,587
78.125,16.9076,595
78.1417,16.9076,595
78.1583,16.9076,587
78.175,16.9076,569
78.1917,16.9076,551
78.2083,16.9076,553
78.225,16.9076,571
78.2417,16.9076,575
78.2583,16.9076,557
78.275,16.9076,553
78.2917,16.9076,573
78.3083,16.9076,575
78.325,16.9076,559
78.3417,16.9076,553
78.3583,16.9076,565
78.375,16.9076,581
78.3917,16.9076,597
78.4083,16.9076,593
78.425,16.9076,597
78.4417,16.9076,577
78.4583,16.9076,575
78.475,16.9076,585
78.4917,16.9076,629
78.5083,16.9076,617
78.525,16.9076,589
78.5417,16.9076,567
78.5583,16.9076,551
78.575,16.9076,531
78.5917,16.9076,523
78.6083,16.9076,509
78.625,16.9076,497
78.6417,16.9076,483
78.6583,16.9076,473
78.675,16.9076,469
78.6917,16.9076,475
78.7083,16.9076,465
78.725,16.9076,449
78.7417,16.9076,443
78.7583,16.9076,429
78.775,16.9076,421
78.7917,16.9076,419
78.8083,16.9076,405
78.825,16.9076,395
78.8417,16.9076,391
78.8583,16.9076,409
78.875,16.9076,359
78.8917,16.9076,333
78.9083,16.9076,319
78.925,16.9076,309
78.9417,16.9076,303
78.9583,16.9076,293
78.975,16.9076,281
78.9917,16.9076,281
79.0083,16.9076,271
79.025,16.9076,263
79.0417,16.9076,261
79.0583,16.9076,257
79.075,16.9076,255
79.0917,16.9076,239
79.1083,16.9076,229
79.125,16.9076,223
79.1417,16.9076,215
79.1583,16.9076,215
79.175,16.9076,213
79.1917,16.9076,207
79.2083,16.9076,201
79.225,16.9076,189
79.2417,16.9076,181
79.2583,16.9076,179
79.275,16.9076,185
79.2917,16.9076,179
79.3083,16.9076,169
79.325,16.9076,171
79.3417,16.9076,173
79.3583,16.9076,171
79.375,16.9076,175
79.3917,16.9076,177
79.4083,16.9076,169
79.425,16.9076,163
79.4417,16.9076,155
79.4583,16.9076,155
79.475,16.9076,163
79.4917,16.9076,161
79.5083,16.9076,153
79.525,16.9076,143
79.5417,16.9076,135
79.5583,16.9076,133
79.575,16.9076,137
79.5917,16.9076,135
79.6083,16.9076,123
79.625,16.9076,113
79.6417,16.9076,117
79.6583,16.9076,117
79.675,16.9076,125
79.6917,16.9076,127
79.7083,16.9076,129
79.725,16.9076,123
79.7417,16.9076,119
79.7583,16.9076,119
79.775,16.9076,123
79.7917,16.9076,115
79.8083,16.9076,107
79.825,16.9076,103
79.8417,16.9076,113
79.8583,16.9076,119
79.875,16.9076,127
79.8917,16.9076,133
79.9083,16.9076,131
79.925,16.9076,115
79.9417,16.9076,107
79.9583,16.9076,97
79.975,16.9076,87
79.9917,16.9076,83
80.0083,16.9076,77
78.0083,16.8916,625
78.025,16.8916,609
78.0417,16.8916,595
78.0583,16.8916,585
78.075,16.8916,573
78.0917,16.8916,569
78.1083,16.8916,571
78.125,16.8916,577
78.1417,16.8916,571
78.1583,16.8916,573
78.175,16.8916,565
78.1917,16.8916,549
78.2083,16.8916,545
78.225,16.8916,559
78.2417,16.8916,565
78.2583,16.8916,547
78.275,16.8916,549
78.2917,16.8916,565
78.3083,16.8916,567
78.325,16.8916,551
78.3417,16.8916,553
78.3583,16.8916,567
78.375,16.8916,583
78.3917,16.8916,593
78.4083,16.8916,581
78.425,16.8916,585
78.4417,16.8916,579
78.4583,16.8916,559
78.475,16.8916,559
78.4917,16.8916,591
78.5083,16.8916,599
78.525,16.8916,559
78.5417,16.8916,579
78.5583,16.8916,553
78.575,16.8916,531
78.5917,16.8916,513
78.6083,16.8916,497
78.625,16.8916,487
78.6417,16.8916,477
78.6583,16.8916,465
78.675,16.8916,451
78.6917,16.8916,443
78.7083,16.8916,435
78.725,16.8916,431
78.7417,16.8916,427
78.7583,16.8916,419
78.775,16.8916,409
78.7917,16.8916,399
78.8083,16.8916,389
78.825,16.8916,379
78.8417,16.8916,379
78.8583,16.8916,373
78.875,16.8916,385
78.8917,16.8916,373
78.9083,16.8916,325
78.925,16.8916,315
78.9417,16.8916,305
78.9583,16.8916,297
78.975,16.8916,287
78.9917,16.8916,295
79.0083,16.8916,299
79.025,16.8916,289
79.0417,16.8916,259
79.0583,16.8916,249
79.075,16.8916,243
79.0917,16.8916,239
79.1083,16.8916,227
79.125,16.8916,217
79.1417,16.8916,211
79.1583,16.8916,203
79.175,16.8916,205
79.1917,16.8916,201
