Lat,Long,Elevation
77.975,17.1307,667
77.9917,17.1307,683
78.0083,17.1307,663
78.025,17.1307,661
78.0417,17.1307,679
78.0583,17.1307,661
78.075,17.1307,649
78.0917,17.1307,669
78.1083,17.1307,659
78.125,17.1307,659
78.1417,17.1307,665
78.1583,17.1307,653
78.175,17.1307,635
78.1917,17.1307,623
78.2083,17.1307,621
78.225,17.1307,611
78.2417,17.1307,599
78.2583,17.1307,601
78.275,17.1307,607
78.2917,17.1307,601
78.3083,17.1307,605
77.1083,17.1147,437
77.125,17.1147,433
77.1417,17.1147,427
77.1583,17.1147,433
77.175,17.1147,441
77.1917,17.1147,447
77.2083,17.1147,439
77.225,17.1147,437
77.2417,17.1147,445
77.2583,17.1147,449
77.275,17.1147,447
77.2917,17.1147,437
77.3083,17.1147,431
77.325,17.1147,439
77.3417,17.1147,449
77.3583,17.1147,449
77.375,17.1147,443
77.3917,17.1147,449
77.4083,17.1147,475
77.425,17.1147,489
77.4417,17.1147,485
77.4583,17.1147,507
77.475,17.1147,531
77.4917,17.1147,553
77.5083,17.1147,567
77.525,17.1147,563
77.5417,17.1147,563
77.5583,17.1147,555
77.575,17.1147,535
77.5917,17.1147,547
77.6083,17.1147,555
77.625,17.1147,559
77.6417,17.1147,559
77.6583,17.1147,563
77.675,17.1147,555
77.6917,17.1147,551
77.7083,17.1147,537
77.725,17.1147,523
77.7417,17.1147,517
77.7583,17.1147,523
77.775,17.1147,525
77.7917,17.1147,537
77.8083,17.1147,555
77.825,17.1147,567
77.8417,17.1147,583
77.8583,17.1147,599
77.875,17.1147,603
77.8917,17.1147,615
77.9083,17.1147,637
77.925,17.1147,663
77.9417,17.1147,675
77.9583,17.1147,667
77.975,17.1147,675
77.9917,17.1147,687
78.0083,17.1147,675
78.025,17.1147,675
78.0417,17.1147,675
78.0583,17.1147,681
78.075,17.1147,665
78.0917,17.1147,679
78.1083,17.1147,677
78.125,17.1147,679
78.1417,17.1147,679
78.1583,17.1147,657
78.175,17.1147,645
78.1917,17.1147,637
78.2083,17.1147,627
78.225,17.1147,615
78.2417,17.1147,607
78.2583,17.1147,613
78.275,17.1147,619
78.2917,17.1147,613
78.3083,17.1147,615
77.1083,17.0988,441
77.125,17.0988,441
77.1417,17.0988,441
77.1583,17.0988,441
77.175,17.0988,451
77.1917,17.0988,453
77.2083,17.0988,449
77.225,17.0988,447
77.2417,17.0988,447
77.2583,17.0988,451
77.275,17.0988,447
77.2917,17.0988,437
77.3083,17.0988,435
77.325,17.0988,439
77.3417,17.0988,443
77.3583,17.0988,449
77.375,17.0988,453
77.3917,17.0988,449
77.4083,17.0988,453
77.425,17.0988,459
77.4417,17.0988,469
77.4583,17.0988,477
77.475,17.0988,511
77.4917,17.0988,543
77.5083,17.0988,567
77.525,17.0988,577
77.5417,17.0988,563
77.5583,17.0988,549
77.575,17.0988,555
77.5917,17.0988,569
77.6083,17.0988,571
77.625,17.0988,551
77.6417,17.0988,543
77.6583,17.0988,553
77.675,17.0988,561
77.6917,17.0988,561
77.7083,17.0988,547
77.725,17.0988,535
77.7417,17.0988,537
77.7583,17.0988,539
77.775,17.0988,539
77.7917,17.0988,545
77.8083,17.0988,563
77.825,17.0988,575
77.8417,17.0988,583
77.8583,17.0988,587
77.875,17.0988,593
77.8917,17.0988,605
77.9083,17.0988,623
77.925,17.0988,637
77.9417,17.0988,669
77.9583,17.0988,677
77.975,17.0988,675
77.9917,17.0988,677
78.0083,17.0988,669
78.025,17.0988,659
78.0417,17.0988,653
78.0583,17.0988,665
78.075,17.0988,663
78.0917,17.0988,677
78.1083,17.0988,677
78.125,17.0988,679
78.1417,17.0988,665
78.1583,17.0988,655
78.175,17.0988,641
78.1917,17.0988,627
78.2083,17.0988,621
78.225,17.0988,615
78.2417,17.0988,615
78.2583,17.0988,623
78.275,17.0988,627
78.2917,17.0988,627
78.3083,17.0988,627
77.1083,17.0829,443
77.125,17.0829,451
77.1417,17.0829,453
77.1583,17.0829,451
77.175,17.0829,453
77.1917,17.0829,461
77.2083,17.0829,459
77.225,17.0829,455
77.2417,17.0829,457
77.2583,17.0829,457
77.275,17.0829,449
77.2917,17.0829,439
77.3083,17.0829,443
77.325,17.0829,443
77.3417,17.0829,445
77.3583,17.0829,449
77.375,17.0829,453
77.3917,17.0829,457
77.4083,17.0829,461
77.425,17.0829,465
77.4417,17.0829,483
77.4583,17.0829,493
77.475,17.0829,521
77.4917,17.0829,547
77.5083,17.0829,565
77.525,17.0829,573
77.5417,17.0829,559
77.5583,17.0829,569
