Lat,Long,Bouger_gravity
77.675,17.1784,-17.6
77.6917,17.1784,-17.2
77.7083,17.1784,-16.8
77.725,17.1784,-16.4
77.7417,17.1784,-16
77.7583,17.1784,-15.6
77.775,17.1784,-15
77.7917,17.1784,-14.1
77.8083,17.1784,-13
77.825,17.1784,-11.5
77.8417,17.1784,-9.7
77.8583,17.1784,-7.8
77.875,17.1784,-5.8
77.8917,17.1784,-3.9
77.9083,17.1784,-2.3
77.925,17.1784,-0.9
77.9417,17.1784,0.1
77.9583,17.1784,0.7
77.975,17.1784,1.1
77.9917,17.1784,1.3
78.0083,17.1784,1.4
78.025,17.1784,1.3
78.0417,17.1784,1.3
78.0583,17.1784,1.2
78.075,17.1784,1
78.0917,17.1784,0.9
78.1083,17.1784,0.6
78.125,17.1784,0.4
78.1417,17.1784,0.1
78.1583,17.1784,-0.2
78.175,17.1784,-0.6
78.1917,17.1784,-1
78.2083,17.1784,-1.5
78.225,17.1784,-2.2
78.2417,17.1784,-2.9
78.2583,17.1784,-3.8
78.275,17.1784,-4.7
78.2917,17.1784,-5.5
78.3083,17.1784,-6.2
77.1083,17.1625,-34.8
77.125,17.1625,-34.3
77.1417,17.1625,-34
77.1583,17.1625,-33.8
77.175,17.1625,-33.7
77.1917,17.1625,-33.7
77.2083,17.1625,-33.8
77.225,17.1625,-34
77.2417,17.1625,-34.1
77.2583,17.1625,-34.3
77.275,17.1625,-34.4
77.2917,17.1625,-34.4
77.3083,17.1625,-34.3
77.325,17.1625,-34.1
77.3417,17.1625,-33.7
77.3583,17.1625,-33.1
77.375,17.1625,-32.3
77.3917,17.1625,-31.3
77.4083,17.1625,-30
77.425,17.1625,-28.4
77.4417,17.1625,-26.6
77.4583,17.1625,-24.7
77.475,17.1625,-22.8
77.4917,17.1625,-21
77.5083,17.1625,-19.4
77.525,17.1625,-18.1
77.5417,17.1625,-17.2
77.5583,17.1625,-16.7
77.575,17.1625,-16.4
77.5917,17.1625,-16.4
77.6083,17.1625,-16.4
77.625,17.1625,-16.5
77.6417,17.1625,-16.4
77.6583,17.1625,-16.3
77.675,17.1625,-16
77.6917,17.1625,-15.7
77.7083,17.1625,-15.3
77.725,17.1625,-14.9
77.7417,17.1625,-14.6
77.7583,17.1625,-14.1
77.775,17.1625,-13.5
77.7917,17.1625,-12.6
77.8083,17.1625,-11.5
77.825,17.1625,-10
77.8417,17.1625,-8.3
77.8583,17.1625,-6.5
77.875,17.1625,-4.6
77.8917,17.1625,-2.8
77.9083,17.1625,-1.3
77.925,17.1625,-0.1
77.9417,17.1625,0.8
77.9583,17.1625,1.4
77.975,17.1625,1.8
77.9917,17.1625,2
78.0083,17.1625,2.3
78.025,17.1625,2.5
78.0417,17.1625,2.7
78.0583,17.1625,2.9
78.075,17.1625,3.1
78.0917,17.1625,3.1
78.1083,17.1625,3
78.125,17.1625,2.7
78.1417,17.1625,2.2
78.1583,17.1625,1.7
78.175,17.1625,1.1
78.1917,17.1625,0.5
78.2083,17.1625,-0.1
78.225,17.1625,-0.8
78.2417,17.1625,-1.5
78.2583,17.1625,-2.3
78.275,17.1625,-3
78.2917,17.1625,-3.7
78.3083,17.1625,-4.3
77.1083,17.1466,-34.4
77.125,17.1466,-33.9
77.1417,17.1466,-33.5
77.1583,17.1466,-33.2
77.175,17.1466,-33.1
77.1917,17.1466,-33
77.2083,17.1466,-33
77.225,17.1466,-33.1
77.2417,17.1466,-33.2
77.2583,17.1466,-33.4
77.275,17.1466,-33.5
77.2917,17.1466,-33.6
77.3083,17.1466,-33.6
77.325,17.1466,-33.5
77.3417,17.1466,-33.3
77.3583,17.1466,-32.8
77.375,17.1466,-32
77.3917,17.1466,-31
77.4083,17.1466,-29.6
77.425,17.1466,-27.9
77.4417,17.1466,-25.9
77.4583,17.1466,-23.7
77.475,17.1466,-21.5
77.4917,17.1466,-19.4
77.5083,17.1466,-17.6
77.525,17.1466,-16.1
77.5417,17.1466,-15.1
77.5583,17.1466,-14.4
77.575,17.1466,-14.2
77.5917,17.1466,-14.2
77.6083,17.1466,-14.3
77.625,17.1466,-14.4
77.6417,17.1466,-14.4
77.6583,17.1466,-14.3
77.675,17.1466,-14.1
77.6917,17.1466,-13.8
77.7083,17.1466,-13.5
