Name on GPS,Latitude,Longitude,Elevation,mag-dir
u12,16.30367056,77.68607861,254.2,42359.6
u13,16.30333917,77.68556417,248.39,42384
u14,16.30258333,77.68564278,246.37,42384.2
w9,16.2945281,77.7017424,258.22,42452.9
w10,16.2953188,77.7017564,259.164,42622.75
w11,16.2964896,77.7018758,254.795,42581.5
w12,16.2975379,77.7020197,251.745,42241
w13,16.2984692,77.7021986,249.378,42267.6
w14,16.2994956,77.7025002,244.524,42489.7
w15,16.3004193,77.7027951,236.066,42461.2
w16,16.3014293,77.7030858,238.642,42475.6
w17,16.3023091,77.703355,237.209,42452.2
w18,16.3034577,77.7036592,242.088,42499.6
w19,16.3045051,77.70385,240.128,42480.9
w20,16.3054497,77.7039334,236.353,42270.6
y1,16.2997119,77.7023463,246.612,42445.4
y2,16.2995903,77.7017602,246.998,42463
y3,16.2994953,77.7012556,247.422,42466
y4,16.2991299,77.7007283,245.055,42471.2
y5,16.2990661,77.700214,247.143,42475.6
y6,16.2989567,77.6995887,245.814,42481
y7,16.2988468,77.698897,247.11,42452.2
y8,16.298748,77.6983438,250.2,42428.4
y9,16.2986029,77.6977979,252.812,42289.9
y10,16.2983235,77.6974301,252.603,42444.4
y10,16.2984687,77.6968402,250.124,42457
y12,16.2987541,77.6961734,249.048,42443.8
y13,16.2987703,77.6957802,252.496,42441.2
y14,16.2988521,77.6953473,251.326,42446
y15,16.2990063,77.6948513,250.547,42455.6
